SubjectNum,Activity,tBodyAcc-mean-X,tBodyAcc-mean-Y,tBodyAcc-mean-Z,tBodyAcc-std-X,tBodyAcc-std-Y,tBodyAcc-std-Z,tGravityAcc-mean-X,tGravityAcc-mean-Y,tGravityAcc-mean-Z,tGravityAcc-std-X,tGravityAcc-std-Y,tGravityAcc-std-Z,tBodyAccJerk-mean-X,tBodyAccJerk-mean-Y,tBodyAccJerk-mean-Z,tBodyAccJerk-std-X,tBodyAccJerk-std-Y,tBodyAccJerk-std-Z,tBodyGyro-mean-X,tBodyGyro-mean-Y,tBodyGyro-mean-Z,tBodyGyro-std-X,tBodyGyro-std-Y,tBodyGyro-std-Z,tBodyGyroJerk-mean-X,tBodyGyroJerk-mean-Y,tBodyGyroJerk-mean-Z,tBodyGyroJerk-std-X,tBodyGyroJerk-std-Y,tBodyGyroJerk-std-Z,tBodyAccMag-mean,tBodyAccMag-std,tGravityAccMag-mean,tGravityAccMag-std,tBodyAccJerkMag-mean,tBodyAccJerkMag-std,tBodyGyroMag-mean,tBodyGyroMag-std,tBodyGyroJerkMag-mean,tBodyGyroJerkMag-std,fBodyAcc-mean-X,fBodyAcc-mean-Y,fBodyAcc-mean-Z,fBodyAcc-std-X,fBodyAcc-std-Y,fBodyAcc-std-Z,fBodyAccJerk-mean-X,fBodyAccJerk-mean-Y,fBodyAccJerk-mean-Z,fBodyAccJerk-std-X,fBodyAccJerk-std-Y,fBodyAccJerk-std-Z,fBodyGyro-mean-X,fBodyGyro-mean-Y,fBodyGyro-mean-Z,fBodyGyro-std-X,fBodyGyro-std-Y,fBodyGyro-std-Z,fBodyAccMag-mean,fBodyAccMag-std,fBodyBodyAccJerkMag-mean,fBodyBodyAccJerkMag-std,fBodyBodyGyroMag-mean,fBodyBodyGyroMag-std,fBodyBodyGyroJerkMag-mean,fBodyBodyGyroJerkMag-std
1,WALKING,0.27467199251579,-0.0236888285713684,-0.117632590873684,-0.207389273705263,0.0894331036210526,-0.291028635210526,0.871655964736842,-0.352914049157895,0.0470575013494737,-0.953923131157895,-0.949879026210526,-0.940489149789474,0.0800358293765263,0.00870882700736842,0.00383939204842105,-0.117990175282105,0.00229708901368421,-0.512152851473684,-0.0815366715422105,-0.0253191329157895,0.07335739368,-0.465259187793684,-0.479797184421053,-0.393097597452632,-0.0680360769736842,-0.0465739994873684,-0.0566342275157895,-0.37619623031579,-0.593347686863158,-0.375098414047368,-0.115495044311579,-0.129441982509474,-0.115495044311579,-0.129441982509474,-0.189399261763158,-0.0307715458568421,-0.3209096302,-0.421164114842105,-0.522515690210526,-0.502085554568421,-0.14157217114,0.102812385529368,-0.331055195978947,-0.236747478574737,0.0106317305989474,-0.327379410142105,-0.126156071167368,-0.0326170099968421,-0.463413208694737,-0.191943164063158,-0.0294953842842105,-0.560035422842105,-0.328708275316842,-0.477648117242105,-0.278289046764211,-0.510758801842105,-0.488911140842105,-0.494170157473684,-0.0458345632547368,-0.317801434969474,-0.0291958608305263,-0.0414614224210526,-0.446808495231579,-0.507793476547368,-0.526257951631579,-0.507631718684211
1,WALKING_UPSTAIRS,0.273524444641509,-0.0208184008132075,-0.115277592169811,-0.897256243584906,-0.774123837071698,-0.762022141830189,0.883902578490566,-0.211752194264151,0.0791451120754717,-0.975847486226415,-0.950500945849057,-0.928769866415094,0.075302033395283,-0.00331538781816981,-0.00495454347811321,-0.877007414,-0.855506823962264,-0.89621474264151,-0.0348439660932076,-0.0753128314339623,0.0963811324528302,-0.842381048679245,-0.898561728113208,-0.785706607037736,-0.105475199056604,-0.0362308412981132,-0.0598348324377358,-0.881188706037736,-0.921528553396226,-0.902920696981132,-0.817224081433962,-0.830096784905661,-0.817224081433962,-0.830096784905661,-0.87394330754717,-0.861611963283019,-0.811162192264151,-0.822644968679245,-0.911166571132075,-0.908693463773585,-0.886318944528302,-0.80796744390566,-0.816487989881132,-0.902100457735849,-0.77163685554717,-0.752315802867925,-0.877909383207547,-0.858828682830189,-0.886918346226415,-0.88739737509434,-0.86219655509434,-0.904107469056604,-0.822265577981132,-0.89659759754717,-0.823113955698113,-0.849902348301887,-0.900962842075472,-0.794916672,-0.83448945964151,-0.854197022264151,-0.859158590716981,-0.864856018645283,-0.855967730943396,-0.832098051320755,-0.910158823773585,-0.91296737
1,WALKING_DOWNSTAIRS,0.254227281897959,-0.00719625114081633,-0.128201533265306,-0.499753265512245,-0.267947988383673,-0.349916077257143,0.83312885122449,-0.173575698018367,-0.114037009628571,-0.951881226734694,-0.941027978367347,-0.886873604795918,0.0861981443061224,-0.0113778041316327,-0.0251647843334694,-0.454917575,-0.436237151391837,-0.673080636938776,-0.0516541876122449,-0.0539637982755102,0.100256075979592,-0.606268632653061,-0.633448811020408,-0.435326219134694,-0.0841927516714286,-0.0516005204673469,-0.045340769644898,-0.624553189387755,-0.748814404285714,-0.617800063673469,-0.374729811387755,-0.402810131755102,-0.374729811387755,-0.402810131755102,-0.503656836530612,-0.419713764918367,-0.44346068977,-0.575871032244898,-0.696733669795918,-0.717409660204082,-0.471005563946939,-0.310338009163265,-0.466388664285714,-0.512546090857143,-0.294735420932653,-0.340531983361224,-0.451025420510204,-0.435629317034694,-0.63125493644898,-0.511066091046939,-0.479003563408163,-0.714989160816327,-0.529351481612245,-0.64050682244898,-0.463289876755102,-0.632471976938776,-0.633669386938776,-0.482012443979592,-0.373633551989796,-0.514771963306122,-0.406925664414286,-0.440722500795918,-0.624051033469388,-0.618078124489796,-0.717796246326531,-0.736981997142857
1,SITTING,0.276756059361702,-0.0172905092382979,-0.107962654744681,-0.863160478723404,-0.771324772212766,-0.861439823404255,0.585840508085106,0.0227916687234043,0.265760107170213,-0.974642943617021,-0.973844572978723,-0.972298811914894,0.0802545387659574,0.00472155547425532,0.00290173227957447,-0.839815080638298,-0.765729033508511,-0.896198079148936,-0.0446762986085106,-0.0688946686893617,0.0993182961276596,-0.894762086382979,-0.890676509361702,-0.856253594255319,-0.0883779843404255,-0.0439838677744681,-0.0518597313191489,-0.848438836382979,-0.904284572553192,-0.857893221276596,-0.82965619,-0.846619278297872,-0.82965619,-0.846619278297872,-0.835224124680851,-0.805116281021277,-0.84365365787234,-0.871251198085106,-0.887508153191489,-0.882805503404255,-0.847128841276596,-0.75960271392766,-0.866081719787234,-0.870195611914894,-0.79249302212766,-0.869657441914894,-0.843778331702128,-0.776984942659575,-0.886528795106383,-0.850294584680851,-0.76946633462766,-0.904638274468085,-0.855226861914894,-0.889771364680851,-0.835350370425532,-0.907647986170213,-0.89219079212766,-0.877322946382979,-0.827435942765957,-0.882560187234043,-0.799387092553192,-0.812954557680851,-0.870844930425532,-0.896313987234043,-0.88964049106383,-0.882224725744681
1,STANDING,0.276688076981132,-0.0168575939566038,-0.105370978188679,-0.982888676226415,-0.947864921698113,-0.948482039245283,0.907720126792453,-0.248927505602717,0.18347069609434,-0.977609803584906,-0.958950158490566,-0.945269356415094,0.0718019773962264,0.0124054531243396,0.0015232506654717,-0.98045681264151,-0.970172182264151,-0.982103793396226,-0.0349119316020755,-0.0705273103018868,0.0595465793886793,-0.975612726037736,-0.969233388867925,-0.956964915283019,-0.102004132603774,-0.0431198203962264,-0.0492561912622642,-0.981350554150943,-0.983033713962264,-0.973412552264151,-0.962129056226415,-0.945618538301887,-0.962129056226415,-0.945618538301887,-0.980292766226415,-0.974652307924528,-0.946123738113208,-0.949315002641509,-0.984339823962264,-0.977139273584906,-0.979973807169811,-0.95149298509434,-0.960966931698113,-0.984518435849057,-0.948759480754717,-0.945477585660377,-0.980159953584906,-0.969527516415094,-0.979124416415094,-0.982705269056604,-0.973271143396227,-0.983737413018868,-0.970099665660377,-0.97106715490566,-0.952915039056604,-0.97748404490566,-0.968560469811321,-0.962524231509434,-0.953615049433962,-0.949492698301887,-0.975168624339623,-0.972998553962264,-0.959028758490566,-0.951888412830189,-0.977730151509434,-0.977751552075472
1,LAYING,0.2832948778,-0.01784790459,-0.10746959714,-0.8542722118,-0.770280181888,-0.8669984586,-0.097026802,0.4411038476,0.48312226658,-0.9690695824,-0.9849863322,-0.9839076516,0.074301077741,0.024199736014,0.007403560532,-0.819405129692,-0.751169405248,-0.8954575936,-0.0260431693048,-0.0961849746,0.11321495702,-0.8825146018,-0.8812620644,-0.848999291,-0.1039743352,-0.035442768338,-0.065255254094,-0.8262858514,-0.8865863788,-0.8362604122,-0.8238840682,-0.8531490304,-0.8238840682,-0.8531490304,-0.82069529988,-0.79129854804,-0.8356232038,-0.866192645,-0.8694315024,-0.862507583,-0.8417967728,-0.75920150116,-0.8717763478,-0.8599396878,-0.79073014434,-0.8743653502,-0.826424748,-0.77447170486,-0.8898884898,-0.82829556434,-0.74303190976,-0.8998563584,-0.8443637622,-0.8797312308,-0.8261847182,-0.8947630668,-0.8832369256,-0.871549216,-0.8297693432,-0.8914423208,-0.79882326708,-0.782304251,-0.8624334464,-0.8950798666,-0.8773626864,-0.8541459406
2,WALKING,0.276426586440678,-0.0185949199145763,-0.105500357966102,-0.423642838474576,-0.0780912533118644,-0.425257524915254,0.913017333389831,-0.34660709,0.0847270871186441,-0.972693201355932,-0.972116879661017,-0.972072847627119,0.0618080696279661,0.0182492679288136,0.00789533706610169,-0.277530462620339,-0.0166022362847458,-0.586090418983051,-0.0530258157347458,-0.0482382316949153,0.0828336633220339,-0.561550255762712,-0.53845366779661,-0.481085535084746,-0.0818833429152542,-0.0538299449067797,-0.0514939156830508,-0.389549831525424,-0.634140436101695,-0.435492677288136,-0.290407593728814,-0.422544169322034,-0.290407593728814,-0.422544169322034,-0.281424153881356,-0.164150985127119,-0.446549092881356,-0.553019916271186,-0.547911950338983,-0.557798151355932,-0.346048161016949,-0.0219048103322034,-0.453806369830509,-0.457651383728814,-0.16921968620339,-0.455222146440678,-0.304615322881356,-0.0787640836610169,-0.554956709661017,-0.31431306340678,-0.0153329520084746,-0.615898188474576,-0.429713536101695,-0.55477211220339,-0.396659907457627,-0.604053019152542,-0.533046952542373,-0.559856635084746,-0.324289427932203,-0.577105211694915,-0.169064352813559,-0.164091969449153,-0.530704814745763,-0.651792839661017,-0.583249293389831,-0.558104554745763
2,WALKING_UPSTAIRS,0.247164790395833,-0.0214121132045833,-0.152513899520833,-0.304376406458333,0.108027279889583,-0.112121021220833,0.790717418541667,-0.416214890416667,-0.195888238891667,-0.934407739791667,-0.92376745375,-0.878004056875,0.0744507839572917,-0.00970985514333333,0.01948143925,-0.276121886479167,-0.185648954220833,-0.5737463525,-0.0576912634583333,-0.0320883097395833,0.0688374021666667,-0.439253058958333,-0.466298336666667,-0.163995791679167,-0.0828858001333333,-0.0424053708458333,-0.0445157481625,-0.464854363125,-0.645491337708333,-0.467595961041667,-0.107322679520833,-0.205977045295833,-0.107322679520833,-0.205977045295833,-0.321268911041667,-0.21738939458125,-0.219713472958333,-0.377532167604167,-0.572816438541667,-0.597291719166667,-0.266720933270833,0.00992445881854167,-0.281001986202083,-0.320582414375,0.0848802791083333,-0.09454497643125,-0.258639439729167,-0.1878421317125,-0.522728063333333,-0.365415441458333,-0.243554146666667,-0.625090981458333,-0.331643577458333,-0.488086123958333,-0.248601122,-0.476358845625,-0.459758488958333,-0.218072471479167,-0.14531853915625,-0.36672824375,-0.189511136902083,-0.2604238389625,-0.450612184791667,-0.438620401875,-0.60079849625,-0.621820202916667
2,WALKING_DOWNSTAIRS,0.27761534806383,-0.0226614158361702,-0.116812942382979,0.0463666814446809,0.262881788951064,-0.10283790806383,0.861831345531915,-0.325780100638298,-0.0438890162723404,-0.940361759574468,-0.940068525531915,-0.931438313191489,0.110040615569574,-0.00327959081489362,-0.0209351677765957,0.147249143238298,0.126828014557447,-0.340122023191489,-0.11594735287234,-0.00482329231914894,0.097173808906383,-0.320789230008511,-0.415739144893617,-0.279418388042553,-0.0581038498510638,-0.0421470257531915,-0.0710229816893617,-0.243940592553192,-0.469396701106383,-0.218266318606383,0.0899511204978723,0.215586334889362,0.0899511204978723,0.215586334889362,0.00565516335106383,0.22961718512766,-0.162188586930426,-0.274844110531915,-0.410872671489362,-0.343187875404255,0.112841160325532,0.278345041765957,-0.131290772,0.0161046198595745,0.171973972957447,-0.162032894287234,0.138120681087234,0.0962091607617021,-0.271498721106383,0.0499590624829787,0.0808333491276596,-0.408227423191489,-0.145775970406383,-0.361913824,-0.0874944736085106,-0.379436674361702,-0.458732747446809,-0.422987665106383,0.293424826591489,-0.0214787881723404,0.222247409576596,0.227480732542553,-0.320838543553192,-0.372576755361702,-0.380175306489362,-0.343698985425532
2,SITTING,0.277087351739131,-0.0156879937282609,-0.109218272456522,-0.986822279565217,-0.950704499130435,-0.95982817173913,0.940477273043478,-0.105630024498783,0.19872676876087,-0.979988760869565,-0.956750273043478,-0.954415873043478,0.0722564387173913,0.0116954511323913,0.00760546929869565,-0.988055854130435,-0.977983955434783,-0.98751821173913,-0.0454706620434783,-0.0599286797043478,0.0412277462173913,-0.985742027826087,-0.978919526956522,-0.959803708695652,-0.0936328412826087,-0.0415602029130435,-0.04358509665,-0.989709023043478,-0.990889614782609,-0.985542325652174,-0.967893623913043,-0.953081444130435,-0.967893623913043,-0.953081444130435,-0.986774713043478,-0.984475868043478,-0.946035087173913,-0.961313624130435,-0.991081493913043,-0.989594919565217,-0.985803840652174,-0.957343498478261,-0.970162172608696,-0.98736209,-0.950073754130435,-0.956862864130435,-0.987848793695652,-0.977139702826087,-0.985129050217391,-0.989459107391304,-0.980804228478261,-0.988570804130435,-0.982621389565217,-0.982100923695652,-0.959814822391304,-0.986808501521739,-0.977356188695652,-0.963522659782609,-0.96127374826087,-0.955575602173913,-0.983874698913043,-0.984124185869565,-0.971840596086956,-0.961385745217391,-0.989861950869565,-0.989632908913043
